Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,119017.2,3371.9,115652,120149.9,61690.5,226717,N.A.
02JAN2020_00:00:00.000000,,,,,,,
08:00 - 08:30,116451.5,806.2,115652,116574.7,115649,61,N.A.
08:30 - 09:00,116451.5,528.1,116546.4,116979.6,116515.3,60,N.A.
09:00 - 09:30,116451.5,103.6,116957.1,117108.5,116956.2,60,N.A.
09:30 - 10:00,116451.5,730.2,117209.2,117813.4,117139.7,60,N.A.
10:00 - 10:30,116451.5,-243.5,117795.4,117846.3,117465,60,N.A.
10:30 - 11:00,116451.5,156.7,117561,117735.4,117535.5,60,N.A.
11:00 - 11:30,116451.5,-16.1,117739.4,117837.1,117710.5,60,N.A.
11:30 - 12:00,116451.5,-61,117658.2,117661.6,117562.8,60,N.A.
12:00 - 12:30,116451.5,36.2,117690.3,117776.8,117641.8,60,N.A.
12:30 - 13:00,116451.5,149.6,117705.6,117979.7,117658.3,60,N.A.
13:00 - 13:30,116451.5,208,117853.6,118073,117830.7,60,N.A.
13:30 - 14:00,116451.5,-158.5,118051.4,118125.6,117878.7,60,N.A.
14:00 - 14:30,116451.5,105.9,117807.4,118037.7,117786.6,60,N.A.
14:30 - 15:00,116451.5,141,118019.5,118275.1,118009.3,60,N.A.
15:00 - 15:30,116451.5,122.6,118129.4,118273.6,118122.7,60,N.A.
15:30 - 16:00,116451.5,73.8,118311,118381.2,118282.7,60,N.A.
16:00 - 16:30,116451.5,245,118328.1,118573.1,118328.1,36,N.A.
03JAN2020_00:00:00.000000,,,,,,,
08:00 - 08:30,117451.7,-1121.4,118564.4,118564.4,117340.6,61,N.A.
08:30 - 09:00,117769.3,317.6,117447.6,117769.3,117373.7,60,N.A.
09:00 - 09:30,118006.4,237.1,117836.3,118181.7,117829.1,60,N.A.
09:30 - 10:00,118177.8,171.4,118055.3,118344.2,118055.3,60,N.A.
10:00 - 10:30,117816.1,-361.7,117992.5,118258,117796.8,60,N.A.
10:30 - 11:00,117989.7,173.6,117765.1,118054.2,117765.1,60,N.A.
11:00 - 11:30,117820.3,-169.4,117940,117951.6,117609,60,N.A.
11:30 - 12:00,117862.3,42,117882.3,117981.9,117765.9,60,N.A.
12:00 - 12:30,118090.8,228.5,117941.8,118199.4,117941.8,60,N.A.
12:30 - 13:00,118323.2,232.4,118134.5,118357.8,118134.5,60,N.A.
13:00 - 13:30,118341.8,18.6,118296.9,118461.5,118291.3,60,N.A.
13:30 - 14:00,118210.4,-131.4,118320.7,118373,118147.5,60,N.A.
14:00 - 14:30,118156.2,-54.2,118286.9,118286.9,118058.6,60,N.A.
14:30 - 15:00,118249,92.8,118130,118275.6,118044.5,60,N.A.
15:00 - 15:30,118573.6,324.6,118278,118791.9,118232.8,60,N.A.
15:30 - 16:00,118469.5,-104.1,118546.7,118606.2,118253.7,60,N.A.
16:00 - 16:30,117706.7,-762.8,118469.5,118469.5,117706.7,50,N.A.
06JAN2020_00:00:00.000000,,,,,,,
08:00 - 08:30,116753,-953.7,117706.7,117706.7,116486.3,61,N.A.
08:30 - 09:00,116731.2,-21.8,116758.4,116774.6,116498.6,60,N.A.
09:00 - 09:30,116424.3,-306.9,116716.5,116925.4,116397.4,60,N.A.
09:30 - 10:00,116279,-145.3,116503.3,116650.6,116268.7,60,N.A.
10:00 - 10:30,116943.9,664.9,116361.3,117032.6,116340.2,60,N.A.
10:30 - 11:00,117095.4,151.5,116910.3,117200.9,116689.5,60,N.A.
11:00 - 11:30,117199.9,104.5,117241.3,117264.4,116993.9,60,N.A.
11:30 - 12:00,117200.2,0.3,117233.1,117274,117058.6,60,N.A.
12:00 - 12:30,117555.7,355.5,117217.9,117644.4,117157.1,60,N.A.
12:30 - 13:00,117462.9,-92.8,117551.6,117587,117374.3,60,N.A.
13:00 - 13:30,117269.7,-193.2,117469.1,117574.9,117240.2,60,N.A.
13:30 - 14:00,117250.9,-18.8,117256.8,117379.8,117210.3,60,N.A.
14:00 - 14:30,116712.9,-538,117126.1,117126.1,116702.9,60,N.A.
14:30 - 15:00,116694.4,-18.5,116710,116884.8,116582.6,60,N.A.
15:00 - 15:30,116751.1,56.7,116710.3,116861.3,116520.3,60,N.A.
15:30 - 16:00,116658.6,-92.5,116820.9,116855.8,116552.5,60,N.A.
16:00 - 16:30,116877.9,219.3,116658.6,116877.9,116658.6,37,N.A.
07JAN2020_00:00:00.000000,,,,,,,
08:00 - 08:30,116634.2,-243.7,116871.7,117075.9,116550.1,61,N.A.
08:30 - 09:00,116053.1,-581.1,116628.8,116628.8,115995.5,60,N.A.
09:00 - 09:30,116178.4,125.3,115999.4,116295.3,115999.4,60,N.A.
09:30 - 10:00,116229.9,51.5,116293,116381.6,115965.4,60,N.A.
10:00 - 10:30,116332,102.1,116314.1,116357.7,116174.9,60,N.A.
10:30 - 11:00,116145.6,-186.4,116445.7,116445.7,116025,60,N.A.
11:00 - 11:30,116306.9,161.3,116227.6,116323.9,116102.7,60,N.A.
11:30 - 12:00,116140.5,-166.4,116277.8,116305.3,116068.1,60,N.A.
12:00 - 12:30,116294.4,153.9,116136.9,116384.8,116136.9,60,N.A.
12:30 - 13:00,116379,84.6,116274.7,116418.6,116180.3,60,N.A.
13:00 - 13:30,116652.7,273.7,116453.1,116694.7,116434.8,60,N.A.
13:30 - 14:00,116829.7,177,116647.3,116956.8,116624.6,60,N.A.
14:00 - 14:30,116670.4,-159.3,116827.6,116827.8,116581.1,60,N.A.
14:30 - 15:00,116605,-65.4,116702.2,116702.2,116517.8,60,N.A.
15:00 - 15:30,116623.6,18.6,116605.5,116722.3,116590.5,60,N.A.
15:30 - 16:00,116571.3,-52.3,116601.2,116628.9,116444.7,60,N.A.
16:00 - 16:30,116661.9,90.6,116571.3,116661.9,116571.3,30,N.A.
08JAN2020_00:00:00.000000,,,,,,,
08:00 - 08:30,117088.3,426.4,116667.3,117304,116667.3,61,N.A.
08:30 - 09:00,116593.7,-494.6,117187,117334.8,116544.4,60,N.A.
09:00 - 09:30,116175,-418.7,116573.6,116614,116028.8,60,N.A.
09:30 - 10:00,116203.3,28.3,116069.6,116303.2,115973.6,60,N.A.
10:00 - 10:30,116211.3,8,116181.5,116430.4,116119.8,60,N.A.
10:30 - 11:00,115866.1,-345.2,116205.7,116205.7,115693,60,N.A.
11:00 - 11:30,116261,394.9,115869.6,116261,115806.3,60,N.A.
11:30 - 12:00,116633.5,372.5,116124.9,116828.8,116089.6,60,N.A.
12:00 - 12:30,116728.8,95.3,116637.6,116766.9,116605.9,60,N.A.
12:30 - 13:00,116592.1,-136.7,116726.3,116819,116443.3,60,N.A.
13:00 - 13:30,116688.6,96.5,116557.2,116697.9,116557.2,60,N.A.
13:30 - 14:00,116129.4,-559.2,116685.7,116688.1,116129.4,60,N.A.
14:00 - 14:30,116220.2,90.8,116161.9,116310.7,116161.9,60,N.A.
14:30 - 15:00,116298.7,78.5,116228.3,116325.1,116228.3,60,N.A.
15:00 - 15:30,116556.5,257.8,116290.3,116580.9,116287.4,60,N.A.
15:30 - 16:00,116181.3,-375.2,116541.8,116541.8,116097.6,60,N.A.
16:00 - 16:30,116247,65.7,116181.3,116247,116181.3,30,N.A.
09JAN2020_00:00:00.000000,,,,,,,
08:00 - 08:30,116410.6,163.6,116247.5,116508.2,116174.3,61,N.A.
08:30 - 09:00,116372.1,-38.5,116506.2,116820,116372.1,60,N.A.
09:00 - 09:30,116120.1,-252,116346.4,116346.4,116025.5,60,N.A.
09:30 - 10:00,116024.9,-95.2,116137.1,116256.8,115815.8,60,N.A.
10:00 - 10:30,115930.7,-94.2,116097.4,116097.4,115865.3,60,N.A.
10:30 - 11:00,116140.3,209.6,115924.5,116200.3,115797.3,60,N.A.
11:00 - 11:30,116098.6,-41.7,116164,116272,116044.1,60,N.A.
11:30 - 12:00,116171.9,73.3,116119.1,116262.4,116116.7,60,N.A.
12:00 - 12:30,115863.1,-308.8,116167.3,116168.2,115778.7,60,N.A.
12:30 - 13:00,115669.4,-193.7,115861.5,115869.7,115597.9,60,N.A.
13:00 - 13:30,115473,-196.4,115683.9,115752.4,115426.7,60,N.A.
13:30 - 14:00,115654,181,115513.4,115763.3,115410.7,60,N.A.
14:00 - 14:30,115715.6,61.6,115693.9,115733.3,115568.9,60,N.A.
14:30 - 15:00,115851.5,135.9,115701,115918.1,115663.1,60,N.A.
15:00 - 15:30,115690.5,-161,115853.9,115943.2,115665.2,60,N.A.
15:30 - 16:00,115964.1,273.6,115715.3,115964.1,115600.4,60,N.A.
16:00 - 16:30,115947.1,-17,115964.1,116008.5,115946,49,N.A.
10JAN2020_00:00:00.000000,,,,,,,
08:00 - 08:30,116369.3,422.2,115947.8,116408.4,115947.8,61,N.A.
08:30 - 09:00,116613,243.7,116400.8,116723.5,116400.8,60,N.A.
09:00 - 09:30,116526.8,-86.2,116587.5,116744.9,116516.2,60,N.A.
09:30 - 10:00,116430.8,-96,116506.4,116547.3,116322.1,60,N.A.
10:00 - 10:30,116639,208.2,116442.8,116678.7,116415.7,60,N.A.
10:30 - 11:00,116546.7,-92.3,116649.8,116668.9,116482.6,60,N.A.
11:00 - 11:30,116287.8,-258.9,116532.4,116574.5,116244.7,60,N.A.
11:30 - 12:00,116232.7,-55.1,116243.3,116306.8,116137.3,60,N.A.
12:00 - 12:30,116174,-58.7,116213.1,116227,116080.3,60,N.A.
12:30 - 13:00,115977.1,-196.9,116166.9,116175.1,115977.1,60,N.A.
13:00 - 13:30,116225,247.9,115981.8,116236.5,115951.8,60,N.A.
13:30 - 14:00,116130.8,-94.2,116217.2,116252,116111.8,60,N.A.
14:00 - 14:30,115781.1,-349.7,116134.7,116180.3,115776.3,60,N.A.
14:30 - 15:00,115682.2,-98.9,115713.9,115827.8,115630.9,60,N.A.
15:00 - 15:30,115303.3,-378.9,115694.8,115702,115303.3,60,N.A.
15:30 - 16:00,115279.8,-23.5,115308.8,115346.5,114952.3,60,N.A.
16:00 - 16:30,115503.4,223.6,115279.8,115503.4,115279.8,38,N.A.
13JAN2020_00:00:00.000000,,,,,,,
08:00 - 08:30,116310,806.6,115502.5,116310,115502.5,61,N.A.
08:30 - 09:00,116303.7,-6.3,116338.8,116386.8,116200.3,60,N.A.
09:00 - 09:30,116175.7,-128,116270.5,116459.4,116107.5,60,N.A.
09:30 - 10:00,116700,524.3,116392.9,116700,116285.8,60,N.A.
10:00 - 10:30,116904.4,204.4,116721.1,116933.1,116641,60,N.A.
10:30 - 11:00,116834.1,-70.3,116906.6,116906.6,116774.6,60,N.A.
11:00 - 11:30,117034,199.9,116821.7,117085.3,116806.6,60,N.A.
11:30 - 12:00,117078.7,44.7,117027.9,117121.4,116955.6,60,N.A.
12:00 - 12:30,117030.7,-48,117089.2,117123.2,116972,60,N.A.
12:30 - 13:00,117185.4,154.7,117014.8,117213.5,116837,60,N.A.
13:00 - 13:30,117195,9.6,117234.5,117302.6,117157.3,60,N.A.
13:30 - 14:00,116994.2,-200.8,117206.1,117206.1,116909,60,N.A.
14:00 - 14:30,117049.9,55.7,117001.9,117188.7,116997,60,N.A.
14:30 - 15:00,117169.8,119.9,117050.7,117260.8,117018.4,60,N.A.
