Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,3379.036,339.012,3036.386,3465.493,2646.811,1270440,N.A.
30DEC2019_00:00:00.000000,,,,,,,
20:15 - 20:45,3042.413,2.389,3036.386,3042.413,3034.328,303,N.A.
20:45 - 21:15,3040.201,-2.212,3042.413,3044.264,3037.198,469,N.A.
21:15 - 21:45,3037.93,-2.271,3040.129,3043.792,3034.271,469,N.A.
21:45 - 22:15,3034.573,-3.357,3037.93,3039.345,3033.481,469,N.A.
22:15 - 22:45,3038.26,3.687,3034.946,3039.506,3034.804,469,N.A.
22:45 - 23:15,3038.26,0,3038.26,3038.26,3038.26,470,N.A.
23:15 - 23:45,3038.26,0,3038.26,3038.26,3038.26,470,N.A.
23:45 - 00:15,3034.584,-3.676,3038.26,3038.415,3034.136,469,N.A.
31DEC2019_00:00:00.000000,,,,,,,
00:15 - 00:45,3039.398,4.814,3034.635,3039.744,3030.594,470,N.A.
00:45 - 01:15,3045.457,6.059,3040.058,3046.289,3039.462,469,N.A.
01:15 - 01:45,3048.394,2.937,3045.457,3051.677,3045.095,470,N.A.
01:45 - 02:15,3050.124,1.73,3048.528,3050.696,3046.733,313,N.A.
01JAN2020_00:00:00.000000,,,,,,,
20:15 - 20:45,3071.971,21.847,3066.336,3076.389,3066.336,303,N.A.
20:45 - 21:15,3088.156,16.185,3071.971,3089.16,3070.126,468,N.A.
21:15 - 21:45,3097.522,9.366,3088.232,3097.994,3085.458,468,N.A.
21:45 - 22:15,3094.626,-2.896,3097.573,3098.1,3088.657,468,N.A.
22:15 - 22:45,3087.164,-7.462,3095.252,3095.834,3086.712,469,N.A.
22:45 - 23:15,3087.164,0,3087.164,3087.164,3087.164,471,N.A.
23:15 - 23:45,3087.164,0,3087.164,3087.164,3087.164,470,N.A.
23:45 - 00:15,3083.499,-3.665,3087.164,3089.632,3082.906,469,N.A.
02JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3086.518,3.019,3083.499,3086.752,3082.074,468,N.A.
00:45 - 01:15,3084.536,-1.982,3086.518,3091.208,3084.416,467,N.A.
01:15 - 01:45,3083.75,-0.786,3085.479,3087.993,3083.555,468,N.A.
01:45 - 02:15,3085.198,1.448,3083.75,3085.198,3083.09,312,N.A.
20:15 - 20:45,3088.39,3.192,3089.022,3090.152,3081.724,306,N.A.
20:45 - 21:15,3089.482,1.092,3088.266,3090.644,3082.459,468,N.A.
21:15 - 21:45,3084.272,-5.21,3089.612,3093.765,3084.024,468,N.A.
21:45 - 22:15,3081.113,-3.159,3084.071,3085.388,3079.355,468,N.A.
22:15 - 22:45,3076.008,-5.105,3081.113,3081.567,3075.575,468,N.A.
22:45 - 23:15,3076.008,0,3076.008,3076.008,3076.008,470,N.A.
23:15 - 23:45,3076.008,0,3076.008,3076.008,3076.008,470,N.A.
23:45 - 00:15,3075.312,-0.696,3076.008,3077.886,3074.584,470,N.A.
03JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3086.32,11.008,3075.312,3087.068,3075.159,470,N.A.
00:45 - 01:15,3087.256,0.936,3086.32,3088.028,3082.936,470,N.A.
01:15 - 01:45,3081.453,-5.803,3087.256,3089.976,3080.31,468,N.A.
01:45 - 02:15,3083.786,2.333,3080.551,3083.786,3080.32,313,N.A.
05JAN2020_00:00:00.000000,,,,,,,
20:15 - 20:45,3081.638,-2.148,3070.909,3082.705,3067.202,304,N.A.
20:45 - 21:15,3092.353,10.715,3082.072,3093.174,3080.507,470,N.A.
21:15 - 21:45,3093.434,1.081,3092.012,3097.372,3091.379,470,N.A.
21:45 - 22:15,3094.912,1.478,3093.612,3095.57,3089.341,471,N.A.
22:15 - 22:45,3101.982,7.07,3094.912,3102.035,3094.712,471,N.A.
22:45 - 23:15,3101.982,0,3101.982,3101.982,3101.982,471,N.A.
23:15 - 23:45,3101.982,0,3101.982,3101.982,3101.982,470,N.A.
23:45 - 00:15,3103.131,1.149,3101.982,3106.52,3101.948,471,N.A.
06JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3093.644,-9.487,3103.131,3107.203,3093.204,470,N.A.
00:45 - 01:15,3073.168,-20.476,3093.609,3095.036,3072.446,470,N.A.
01:15 - 01:45,3076.404,3.236,3072.922,3077.098,3065.956,469,N.A.
01:45 - 02:15,3083.408,7.004,3076.705,3084.122,3076.266,314,N.A.
20:15 - 20:45,3098.493,15.085,3085.488,3099.847,3085.488,304,N.A.
20:45 - 21:15,3094.932,-3.561,3098.372,3098.775,3091.61,468,N.A.
21:15 - 21:45,3089.426,-5.506,3094.932,3098.542,3089.426,469,N.A.
21:45 - 22:15,3093.612,4.186,3089.256,3094.189,3084.509,468,N.A.
22:15 - 22:45,3094.442,0.83,3093.456,3094.442,3090.862,470,N.A.
22:45 - 23:15,3094.442,0,3094.442,3094.442,3094.442,470,N.A.
23:15 - 23:45,3094.442,0,3094.442,3094.442,3094.442,471,N.A.
23:45 - 00:15,3092.014,-2.428,3094.442,3096.143,3089.452,468,N.A.
07JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3095.516,3.502,3092.14,3097.79,3092.047,470,N.A.
00:45 - 01:15,3097.083,1.567,3095.516,3102.636,3095.25,469,N.A.
01:15 - 01:45,3101.174,4.091,3096.975,3105.331,3096.303,469,N.A.
01:45 - 02:15,3104.802,3.628,3100.989,3104.906,3100.497,312,N.A.
20:15 - 20:45,3091.01,-13.792,3094.239,3094.239,3084.332,303,N.A.
20:45 - 21:15,3083.821,-7.189,3090.665,3090.809,3083.626,467,N.A.
21:15 - 21:45,3084.379,0.558,3083.821,3084.85,3077.042,468,N.A.
21:45 - 22:15,3089.284,4.905,3084.379,3092.492,3082.779,469,N.A.
22:15 - 22:45,3087.134,-2.15,3089.488,3091.749,3087.134,468,N.A.
22:45 - 23:15,3087.134,0,3087.134,3087.134,3087.134,470,N.A.
23:15 - 23:45,3087.134,0,3087.134,3087.134,3087.134,470,N.A.
23:45 - 00:15,3081.785,-5.349,3087.134,3087.134,3079.946,469,N.A.
08JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3068.597,-13.188,3081.785,3082.228,3068.292,469,N.A.
00:45 - 01:15,3066.565,-2.032,3068.144,3071.473,3063.697,469,N.A.
01:15 - 01:45,3069.986,3.421,3066.565,3071.651,3059.131,469,N.A.
01:45 - 02:15,3066.893,-3.093,3069.594,3070.536,3065.761,313,N.A.
20:15 - 20:45,3090.659,23.766,3082.64,3091.178,3082.64,299,N.A.
20:45 - 21:15,3091.038,0.379,3090.659,3097.273,3090.211,464,N.A.
21:15 - 21:45,3084.594,-6.444,3091.131,3092.619,3084.528,463,N.A.
21:45 - 22:15,3085.71,1.116,3084.32,3087.656,3083.067,464,N.A.
22:15 - 22:45,3081.361,-4.349,3085.71,3086.138,3080.131,464,N.A.
22:45 - 23:15,3081.361,0,3081.361,3081.361,3081.361,465,N.A.
23:15 - 23:45,3081.361,0,3081.361,3081.361,3081.361,465,N.A.
23:45 - 00:15,3085.461,4.1,3081.361,3085.979,3081.361,464,N.A.
09JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3089.725,4.264,3086.36,3090.511,3085.181,464,N.A.
00:45 - 01:15,3086.703,-3.022,3089.875,3091.475,3086.703,463,N.A.
01:15 - 01:45,3094.373,7.67,3086.922,3094.857,3083.323,462,N.A.
01:45 - 02:15,3094.882,0.509,3094.373,3094.882,3091.599,309,N.A.
20:15 - 20:45,3093.681,-1.201,3102.294,3104.832,3092.329,304,N.A.
20:45 - 21:15,3090.123,-3.558,3093.681,3098.504,3087.445,468,N.A.
21:15 - 21:45,3089.266,-0.857,3090.718,3092.095,3087.315,468,N.A.
21:45 - 22:15,3087.464,-1.802,3088.802,3090.018,3083.033,468,N.A.
22:15 - 22:45,3086.852,-0.612,3087.464,3089.338,3086.115,470,N.A.
22:45 - 23:15,3086.852,0,3086.852,3086.852,3086.852,470,N.A.
23:15 - 23:45,3086.852,0,3086.852,3086.852,3086.852,471,N.A.
23:45 - 00:15,3084.728,-2.124,3086.852,3087.849,3083.262,470,N.A.
10JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3087.707,2.979,3084.728,3088.17,3081.426,468,N.A.
00:45 - 01:15,3090.403,2.696,3087.707,3092.212,3086.263,468,N.A.
01:15 - 01:45,3094.889,4.486,3090.674,3098.454,3090.674,469,N.A.
01:45 - 02:15,3092.291,-2.598,3094.76,3095.18,3090.583,313,N.A.
12JAN2020_00:00:00.000000,,,,,,,
20:15 - 20:45,3085.002,-7.289,3091.493,3092.272,3082.194,303,N.A.
20:45 - 21:15,3080.846,-4.156,3085.002,3086.427,3075.384,469,N.A.
21:15 - 21:45,3086.828,5.982,3080.768,3088.327,3080.768,468,N.A.
21:45 - 22:15,3092.522,5.694,3086.488,3095.674,3084.526,469,N.A.
22:15 - 22:45,3094.023,1.501,3092.509,3094.578,3092.177,470,N.A.
22:45 - 23:15,3094.023,0,3094.023,3094.023,3094.023,470,N.A.
23:15 - 23:45,3094.023,0,3094.023,3094.023,3094.023,469,N.A.
23:45 - 00:15,3101.481,7.458,3094.023,3101.481,3093.973,470,N.A.
13JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3098.834,-2.647,3101.481,3102.27,3093.185,469,N.A.
00:45 - 01:15,3097.688,-1.146,3098.35,3102.294,3095.7,469,N.A.
01:15 - 01:45,3109.457,11.769,3097.688,3109.485,3096.739,470,N.A.
01:45 - 02:15,3115.57,6.113,3109.575,3115.57,3108.151,312,N.A.
20:15 - 20:45,3124.29,8.72,3120.667,3126.843,3119.949,303,N.A.
20:45 - 21:15,3119.139,-5.151,3124.29,3127.095,3117.12,467,N.A.
21:15 - 21:45,3118.898,-0.241,3119.961,3123.245,3118.085,468,N.A.
21:45 - 22:15,3120.185,1.287,3118.685,3124.598,3117.801,469,N.A.
22:15 - 22:45,3113.963,-6.222,3120.476,3120.573,3113.363,468,N.A.
22:45 - 23:15,3113.963,0,3113.963,3113.963,3113.963,470,N.A.
23:15 - 23:45,3113.963,0,3113.963,3113.963,3113.963,470,N.A.
23:45 - 00:15,3112.247,-1.716,3113.963,3113.963,3109.102,470,N.A.
14JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3116.473,4.226,3111.901,3116.839,3111.617,469,N.A.
00:45 - 01:15,3110.052,-6.421,3116.473,3116.792,3106.791,470,N.A.
01:15 - 01:45,3108.17,-1.882,3110.052,3113.077,3108.066,468,N.A.
01:45 - 02:15,3106.82,-1.35,3108.469,3108.828,3106.02,313,N.A.
20:15 - 20:45,3103.53,-3.29,3103.175,3107.813,3101.289,305,N.A.
20:45 - 21:15,3085.121,-18.409,3103.53,3103.579,3083.962,466,N.A.
21:15 - 21:45,3090.703,5.582,3084.796,3091.136,3082.042,468,N.A.
21:45 - 22:15,3084.965,-5.738,3090.4,3090.97,3083.309,469,N.A.
22:15 - 22:45,3086.325,1.36,3085.026,3088.833,3084.673,469,N.A.
22:45 - 23:15,3086.325,0,3086.325,3086.325,3086.325,470,N.A.
23:15 - 23:45,3086.325,0,3086.325,3086.325,3086.325,470,N.A.
23:45 - 00:15,3086.944,0.619,3086.325,3088.202,3085.35,469,N.A.
15JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3084.209,-2.735,3086.944,3087.278,3082.279,470,N.A.
00:45 - 01:15,3090.994,6.785,3084.382,3091.414,3083.856,467,N.A.
01:15 - 01:45,3091.325,0.331,3090.994,3096.475,3090.837,468,N.A.
01:45 - 02:15,3090.038,-1.287,3091.673,3091.673,3088.415,312,N.A.
20:15 - 20:45,3090.131,0.093,3095.734,3096.337,3081.529,304,N.A.
20:45 - 21:15,3088.352,-1.779,3090.448,3092.258,3085.553,468,N.A.
21:15 - 21:45,3082.216,-6.136,3087.833,3089.875,3081.804,467,N.A.
