Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,47746.22,6188.22,41606.81,47789.04,25640.12,7120958,N.A.
30DEC2019_00:00:00.000000,,,,,,,
22:30 - 23:00,41479.49,-78.51,41606.81,41607.49,41444.63,1365,N.A.
23:00 - 23:30,41417.4,-62.09,41480.95,41483.97,41384.2,1797,N.A.
23:30 - 00:00,41409.97,-7.43,41417.49,41442.61,41383.68,1797,N.A.
31DEC2019_00:00:00.000000,,,,,,,
00:00 - 00:30,41376.39,-33.58,41409.97,41416.09,41372.15,1798,N.A.
00:30 - 01:00,41373.46,-2.93,41376.39,41399.5,41349.61,1797,N.A.
01:00 - 01:30,41486.16,112.7,41373.46,41504.09,41373.46,1798,N.A.
01:30 - 02:00,41418.06,-68.1,41486.56,41489.61,41416.5,1798,N.A.
02:00 - 02:30,41418.8,0.74,41418.06,41431.41,41405.36,1797,N.A.
02:30 - 03:00,41436.96,18.16,41418.45,41450.02,41415.41,1798,N.A.
03:00 - 03:30,41450.44,13.48,41436.68,41481.4,41428.84,1798,N.A.
03:30 - 04:00,41387.16,-63.28,41450.37,41468.68,41375.18,1798,N.A.
04:00 - 04:30,41331.23,-55.93,41387.16,41422.98,41314.65,1789,N.A.
04:30 - 05:00,41291.1,-40.13,41330.87,41333.18,41187.05,1797,N.A.
05:00 - 05:30,41253.74,-37.36,41291.1,41291.1,41253.74,1798,N.A.
05:30 - 06:00,41253.74,0,41253.74,41253.74,41253.74,1798,N.A.
06:00 - 06:30,41253.74,0,41253.74,41253.74,41253.74,1797,N.A.
22:30 - 23:00,41438.81,185.07,41349.29,41441.85,41349.29,1369,N.A.
23:00 - 23:30,41360.44,-78.37,41439.1,41443.52,41334.59,1797,N.A.
23:30 - 00:00,41362.09,1.65,41361.04,41367.22,41311.5,1797,N.A.
01JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41295.71,-66.38,41360.56,41360.56,41277.5,1798,N.A.
00:30 - 01:00,41297.37,1.66,41295.71,41330.56,41287.31,1797,N.A.
01:00 - 01:30,41283.66,-13.71,41297.66,41314.43,41274.52,1798,N.A.
01:30 - 02:00,41271.76,-11.9,41282.43,41347.24,41271.76,1798,N.A.
02:00 - 02:30,41304.86,33.1,41270.34,41308.08,41251.59,1797,N.A.
02:30 - 03:00,41311.75,6.89,41304.86,41312.36,41270.35,1796,N.A.
03:00 - 03:30,41340.73,28.98,41311.75,41360.9,41283.3,1798,N.A.
03:30 - 04:00,41293.18,-47.55,41340.73,41345.96,41273.27,1797,N.A.
