Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,3291.14,246.07,3059.2,3318.39,2073.87,7777591,N.A.
03JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3073.8,28.73,3059.2,3074.51,3057.36,1801,N.A.
02:30 - 03:00,3071.34,-2.46,3073.72,3075.41,3070.58,1799,N.A.
03:00 - 03:30,3080.4,9.06,3071.61,3080.56,3070.95,1793,N.A.
03:30 - 04:00,3085.01,4.61,3080.37,3085.01,3079.32,1799,N.A.
04:00 - 04:30,3083.29,-1.72,3085.38,3085.57,3081.05,1800,N.A.
04:30 - 05:00,3084.07,0.78,3083.37,3086.07,3082.44,1800,N.A.
05:00 - 05:30,3083.35,-0.72,3084.09,3086.03,3082.2,1800,N.A.
05:30 - 06:00,3084.51,1.16,3083.38,3085.46,3083.08,1799,N.A.
06:00 - 06:30,3080.95,-3.56,3084.54,3086.09,3080.26,1800,N.A.
06:30 - 07:00,3078.25,-2.7,3080.79,3080.79,3077.89,1800,N.A.
07:00 - 07:30,3072.32,-5.93,3078.18,3078.18,3071.48,1799,N.A.
07:30 - 08:00,3072.79,0.47,3072.31,3072.99,3069.9,1799,N.A.
08:00 - 08:30,3071.7,-1.09,3072.75,3075.07,3071.43,1797,N.A.
08:30 - 09:00,3069.63,-2.07,3071.72,3072.97,3068.05,1799,N.A.
09:00 - 09:30,3066.03,-3.6,3069.62,3070.17,3065.02,1800,N.A.
09:30 - 10:00,3072.96,6.93,3066.05,3073.21,3066.05,1800,N.A.
10:00 - 10:30,3071.1,-1.86,3072.22,3075.35,3070.95,1799,N.A.
10:30 - 11:00,3069.91,-1.19,3070.94,3071.48,3068.9,600,N.A.
06JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3064.14,-5.77,3075.55,3079.42,3063.44,1801,N.A.
02:30 - 03:00,3066.4,2.26,3064.03,3069.1,3062.99,1799,N.A.
03:00 - 03:30,3074.75,8.35,3066.47,3076.76,3065.58,1800,N.A.
03:30 - 04:00,3066.02,-8.73,3074.67,3075.65,3065.92,1800,N.A.
04:00 - 04:30,3062.35,-3.67,3065.66,3067.84,3062.03,1799,N.A.
04:30 - 05:00,3062.63,0.28,3062.38,3064.22,3061.47,1800,N.A.
05:00 - 05:30,3063.61,0.98,3062.7,3063.87,3060.76,1798,N.A.
05:30 - 06:00,3064.76,1.15,3063.61,3065.57,3063.05,1799,N.A.
06:00 - 06:30,3064.7,-0.06,3064.77,3065.45,3062.13,1800,N.A.
06:30 - 07:00,3067.75,3.05,3064.72,3068.54,3064.35,1799,N.A.
07:00 - 07:30,3066.4,-1.35,3067.83,3067.86,3064.04,1800,N.A.
07:30 - 08:00,3062.83,-3.57,3066.43,3067.27,3062.57,1800,N.A.
08:00 - 08:30,3061.81,-1.02,3062.65,3063.01,3059.47,1800,N.A.
08:30 - 09:00,3061.71,-0.1,3061.81,3062.51,3059.98,1800,N.A.
09:00 - 09:30,3062.7,0.99,3061.62,3063.48,3061.1,1800,N.A.
09:30 - 10:00,3066.39,3.69,3062.65,3066.75,3061.99,1799,N.A.
10:00 - 10:30,3071.24,4.85,3066.38,3071.71,3066.38,1800,N.A.
10:30 - 11:00,3070.72,-0.52,3071.27,3071.67,3069.83,600,N.A.
08JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3085.67,14.95,3076.63,3086.93,3071.88,1800,N.A.
02:30 - 03:00,3089.31,3.64,3085.46,3092.33,3085.46,1799,N.A.
03:00 - 03:30,3094.87,5.56,3089.39,3096.53,3088.83,1798,N.A.
03:30 - 04:00,3091.25,-3.62,3094.87,3095.45,3090.08,1798,N.A.
04:00 - 04:30,3093.65,2.4,3091.13,3096.17,3090.57,1799,N.A.
04:30 - 05:00,3098.07,4.42,3093.76,3098.35,3093.04,1800,N.A.
05:00 - 05:30,3097.03,-1.04,3098.21,3099.14,3096.49,1799,N.A.
05:30 - 06:00,3102.22,5.19,3097.02,3102.3,3096.8,1799,N.A.
06:00 - 06:30,3102.18,-0.04,3102.29,3103.66,3100.54,1798,N.A.
06:30 - 07:00,3098.9,-3.28,3102.18,3102.31,3098.51,1800,N.A.
07:00 - 07:30,3102.42,3.52,3098.91,3102.62,3098.06,1799,N.A.
07:30 - 08:00,3104.23,1.81,3102.42,3105.16,3101.55,1800,N.A.
08:00 - 08:30,3107.36,3.13,3104.3,3107.37,3103.55,1800,N.A.
08:30 - 09:00,3108.88,1.52,3107.4,3109.12,3106.64,1800,N.A.
09:00 - 09:30,3108.16,-0.72,3109.01,3111.08,3107.73,1800,N.A.
09:30 - 10:00,3110.44,2.28,3108.25,3112.01,3106.94,1800,N.A.
10:00 - 10:30,3108.17,-2.27,3110.46,3111.25,3108.07,1800,N.A.
10:30 - 11:00,3106.94,-1.23,3107.8,3108.12,3105.38,600,N.A.
09JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3111.17,4.23,3105.21,3111.83,3099.55,1800,N.A.
02:30 - 03:00,3108.15,-3.02,3111.28,3111.53,3103.9,1799,N.A.
03:00 - 03:30,3101.86,-6.29,3107.96,3108.03,3094.85,1799,N.A.
03:30 - 04:00,3104.59,2.73,3101.9,3107.38,3101.32,1800,N.A.
04:00 - 04:30,3098.79,-5.8,3104.5,3105.51,3098.77,1800,N.A.
04:30 - 05:00,3107.52,8.73,3098.69,3107.66,3096.45,1800,N.A.
05:00 - 05:30,3108.1,0.58,3107.44,3109.81,3106.55,1800,N.A.
05:30 - 06:00,3104.73,-3.37,3108.1,3109.34,3103.59,1800,N.A.
06:00 - 06:30,3108.28,3.55,3104.69,3108.88,3104.3,1800,N.A.
06:30 - 07:00,3117.05,8.77,3109.57,3117.36,3108.59,1800,N.A.
07:00 - 07:30,3121.14,4.09,3116.99,3124.18,3115.67,1800,N.A.
07:30 - 08:00,3122.16,1.02,3121.16,3124.6,3119.71,1799,N.A.
08:00 - 08:30,3121.62,-0.54,3122.09,3122.77,3118.6,1799,N.A.
