Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,54615.33,3216.94,51398.39,55563.14,33407.74,20367336,N.A.
31DEC2019_00:00:00.000000,,,,,,,
01:30 - 02:00,51398.39,0,51398.39,51398.39,51398.39,1,N.A.
02:00 - 02:30,51143.85,-254.54,51388.25,51401.09,51107.47,1624,N.A.
02:30 - 03:00,51078.28,-65.57,51144.13,51229.55,51073.85,1732,N.A.
03:00 - 03:30,50999.77,-78.51,51077.22,51108.8,50894.42,3042,N.A.
03:30 - 04:00,51024.07,24.3,50999.79,51067.39,50993.03,2011,N.A.
04:00 - 04:30,50979.65,-44.42,51023.94,51023.94,50939.28,2473,N.A.
04:30 - 05:00,50828.8,-150.85,50979.51,50980.64,50816.19,2113,N.A.
05:00 - 05:30,50816.05,-12.75,50816.05,50816.05,50816.05,1,N.A.
02JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,50816.05,0,50816.05,50816.05,50816.05,1,N.A.
02:00 - 02:30,51491.75,675.7,50807.33,51682.95,50807.33,2545,N.A.
02:30 - 03:00,51311.65,-180.1,51491.36,51530.26,51293.77,1543,N.A.
03:00 - 03:30,51464.62,152.97,51299.33,51560.02,51238.61,2383,N.A.
03:30 - 04:00,51472.72,8.1,51464.69,51507.75,51399.6,1643,N.A.
04:00 - 04:30,51476.33,3.61,51471.9,51667.6,51433.91,2764,N.A.
04:30 - 05:00,51376.14,-100.19,51476.06,51514.24,51371.14,1810,N.A.
05:00 - 05:30,51268.34,-107.8,51376.93,51382.75,51256.16,2499,N.A.
05:30 - 06:00,51267.24,-1.1,51268.38,51328.23,51235.12,2097,N.A.
06:00 - 06:30,51295.92,28.68,51266.97,51308.85,51124.28,2391,N.A.
06:30 - 07:00,51439.43,143.51,51294.46,51449.8,51276.26,2388,N.A.
07:00 - 07:30,51422.87,-16.56,51438.51,51466.02,51403.82,1919,N.A.
07:30 - 08:00,51388.47,-34.4,51422.82,51453.13,51386.96,1816,N.A.
08:00 - 08:30,51480.47,92,51388.22,51480.65,51378.78,1882,N.A.
08:30 - 09:00,51472.15,-8.32,51480.49,51511.48,51456.53,2471,N.A.
09:00 - 09:30,51498.88,26.73,51473.44,51552.94,51468.25,3102,N.A.
09:30 - 10:00,51481.83,-17.05,51497.45,51561.73,51453.23,2952,N.A.
10:00 - 10:30,51438.04,-43.79,51438.04,51438.04,51438.04,1,N.A.
03JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51438.04,0,51438.04,51438.04,51438.04,1,N.A.
02:00 - 02:30,51485.34,47.3,51438.44,51572.51,51243.5,3147,N.A.
02:30 - 03:00,51556.22,70.88,51486.27,51633.77,51460.95,2582,N.A.
